date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9458	0.9995	0.0005	0.0542	0.9941	0.9948	0.9697
2013-01	0.9220	0.9949	0.0051	0.0780	0.9876	0.9525	0.9370
2013-02	0.7969	0.9972	0.0028	0.2031	0.9771	0.9696	0.8748
2013-03	0.8012	0.9908	0.0092	0.1988	0.9718	0.9060	0.8504
2013-04	0.8535	0.9986	0.0014	0.1465	0.9840	0.9852	0.9146
2013-05	0.7884	0.9984	0.0016	0.2116	0.9776	0.9819	0.8746
2013-06	0.7574	0.9964	0.0036	0.2426	0.9725	0.9588	0.8463
2013-07	0.8617	0.9974	0.0026	0.1383	0.9837	0.9732	0.9140
2013-08	0.8099	0.9964	0.0036	0.1901	0.9778	0.9608	0.8789
2013-09	0.8320	0.9940	0.0060	0.1680	0.9777	0.9391	0.8823
2013-10	0.7916	0.9920	0.0080	0.2084	0.9719	0.9165	0.8495
2013-11	0.7111	0.9944	0.0056	0.2889	0.9662	0.9337	0.8073
2013-12	0.6874	0.9964	0.0036	0.3126	0.9655	0.9554	0.7995
2014-01	0.6876	0.9931	0.0069	0.3124	0.9629	0.9162	0.7856
2014-02	0.6424	0.9958	0.0042	0.3576	0.9607	0.9436	0.7644
2014-03	0.6498	0.9906	0.0094	0.3502	0.9569	0.8843	0.7491
2014-04	0.7636	0.9905	0.0095	0.2364	0.9679	0.8984	0.8256
2014-05	0.8229	0.9877	0.0123	0.1771	0.9713	0.8815	0.8512
2014-06	0.5522	0.9846	0.0154	0.4478	0.9415	0.7994	0.6532
2014-07	0.4649	0.9878	0.0122	0.5351	0.9355	0.8084	0.5903
2014-08	0.4879	0.9833	0.0167	0.5121	0.9341	0.7634	0.5953
2014-09	0.6777	0.9906	0.0094	0.3223	0.9595	0.8882	0.7688
2014-10	0.5910	0.9902	0.0098	0.4090	0.9509	0.8679	0.7032
2014-11	0.6978	0.9897	0.0103	0.3022	0.9608	0.8821	0.7792
