date	Total	TP	TN	FP	FN
2012-12	30533	2895	27457	15	166
2013-01	4991	461	4468	23	39
2013-02	3185	262	2855	10	58
2013-03	3365	277	3003	25	60
2013-04	3886	340	3488	9	49
2013-05	4865	429	4374	9	53
2013-06	3384	285	3041	5	53
2013-07	2520	220	2260	7	33
2013-08	2436	211	2186	8	31
2013-09	4984	419	4464	20	81
2013-10	4989	394	4470	20	105
2013-11	4972	365	4452	25	130
2013-12	4991	340	4470	22	159
2014-01	4983	357	4474	16	136
2014-02	4981	346	4464	22	149
2014-03	4983	349	4445	44	145
2014-04	4430	344	3952	38	96
2014-05	4985	410	4447	41	87
2014-06	4989	313	4461	30	185
2014-07	4994	250	4453	42	249
2014-08	4989	261	4447	46	235
2014-09	4250	298	3799	29	124
2014-10	4969	313	4450	30	176
2014-11	4975	357	4455	27	136
2014-12	4957	347	4444	20	146
2015-01	4931	356	4437	16	122
2015-02	4954	406	4449	23	76
2015-03	4939	380	4456	12	91
2015-04	4946	396	4454	25	71
2015-05	4934	369	4476	14	75
2015-06	4946	384	4477	12	73
2015-07	4824	371	4328	19	106
2015-08	3111	234	2796	9	72
2015-09	4959	281	4453	24	201
2015-10	4963	312	4464	24	163
2015-11	4975	139	4471	16	349
2015-12	4970	402	4469	20	79
2016-01	4931	356	4484	11	80
2016-02	4917	379	4457	26	55
2016-03	4950	385	4471	26	68
2016-04	4926	335	4461	33	97
2016-05	4968	353	4472	19	124
2016-06	4974	434	4452	30	58
2016-07	4970	397	4458	31	84
2016-08	4981	432	4454	30	65
2016-09	4965	397	4453	19	96
2016-10	4977	444	4456	29	48
2016-11	3327	222	2984	13	108
2016-12	3150	233	2833	10	74
2017-01	3410	274	3060	30	46
2017-02	3770	312	3383	19	56
2017-03	3596	253	3241	23	79
2017-04	1905	104	1731	19	51
2017-05	1265	74	1163	3	25
2017-06	1399	65	1283	3	48
2017-07	1871	149	1669	15	38
2017-08	2989	275	2668	25	21
2017-09	1764	142	1590	17	15
2017-10	2914	180	2684	9	41
2017-11	987	72	885	10	20
2017-12	1442	117	1289	28	8
2018-01	1836	129	1672	11	24
2018-02	1791	116	1638	8	29
2018-03	4765	230	4470	21	44
2018-04	2966	246	2662	23	35
2018-05	2478	216	2220	16	26
2018-06	4970	375	4480	12	103
2018-07	4983	399	4478	17	89
2018-08	2989	255	2678	20	36
2018-09	4953	325	4458	37	133
2018-10	4989	311	4476	20	182
2018-11	2984	205	2680	17	82
2018-12	2225	141	2028	4	52
