date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	344	56	269	131	13	spyware,gedma,smsagent,umpay,boqx,stoqx,moavt,tascudap,frebro	benign,gappusin,adware,plankton,smsagent,fakeplayer,jsmshider,airpush,exploit,kuguo,stoqx,fjcon,fakeinst,smssend,fujacks,opfake,gedma,wooboo,tascudap,domob,boqx,frebro,adwo,umpay,moavt,spyware,kmin,leadbolt,youmi
2013-02	330	70	199	201	5	fakeguard,adsms,smsbomber	domob,mmarketpay,adware,zitmo,smsagent,smssend,benign,ganlet,plankton,smsreg,gappusin,airpush,exploit,utchi,fakeinst,cellagent,opfake,jsmshider,tascudap,viser,leadbolt,kuguo,smskey,fakeguard,anforen,fakedoc,youmi,adsms,ginmaster,smsbomber,wooboo,mobwin,boqx
2013-03	325	75	224	176	8	porfa,pincer,cardserv,bintal,skplanet,wifikill,phosty,gdplugin	smsreg,benign,adwo,smskey,leadbolt,adware,youmi,spybubble,airpush,cardserv,exploit,smssend,jsmshider,fakeinst,gappusin,smsagent,skplanet,nandrobox,domob,kuguo,unknown,droiddreamlight,pincer,mobilespy,gdplugin,basebridge,plankton,ginmaster,pjapps,boqx,phosty,fakeguard,viser,opfake,porfa,fakeangry,bintal,wifikill,kmin,updtkiller
2013-04	340	60	183	217	11	smsir,uuserv,faketoken,perkel,revmob,helos,dianjin,badnews	fakeinst,ksapp,ginmaster,airpush,uuserv,benign,dowgin,anforen,dianjin,kuguo,smssend,youmi,faketimer,cardserv,spybubble,adware,plankton,smsreg,smsagent,unknown,leadbolt,kyview,exploit,helos,badnews,revmob,opfake,smsir,fakeplayer,perkel,smskey,fakeflash,gappusin,adwo,gdplugin,pincer,mmarketpay,zitmo,faketoken,utchi,boqx,jsmshider,droidkungfu,execdownload
2013-05	344	56	149	251	15	igexin,dianle,wifle,smforw,voxv,aiplay,skymobi,pushad	exploit,kuguo,benign,airpush,zitmo,domob,gappusin,smsagent,ganlet,adware,dianle,unknown,igexin,smssend,plankton,smsreg,fakeinst,smforw,leadbolt,perkel,umpay,pushad,androrat,opfake,imlog,smskey,adwo,aiplay,smsthief,voxv,faketoken,youmi,fakeguard,wifle,execdownload,wifikill,ldpinch,kyview,skymobi
2013-06	361	39	163	237	7	vmvol,feejar,vidro,oveead,sms	airpush,domob,fakeinst,zitmo,benign,smssend,spybubble,smsreg,fakeangry,adware,kuguo,leadbolt,oveead,opfake,sms,boqx,plankton,smforw,smskey,adwo,perkel,vidro,fakelogo,utchi,exploit,youmi,nickyspy,jsmshider,gappusin,droiddreamlight,droidkungfu,hipposms,basebridge,revmob,vmvol,feejar,pjapps
2013-07	366	34	215	185	7	virus,sadstrot,mogap,minimob,reptilicus	benign,smsagent,boqx,adware,kuguo,unknown,smsreg,spyware,smssend,airpush,fakeinst,gappusin,exploit,domob,dianle,kyview,smforw,umpay,reptilicus,vidro,mobiletx,plankton,geinimi,minimob,opfake,mogap,wooboo,sadstrot,vmvol,youmi,smskey,kmin,feejar,virus
2013-08	360	40	218	182	14	rogueware,uten,vietsms,wateh,qplus,infosteal,mseg,juzi,badok,wroba,tesbo	plankton,benign,wateh,ksapp,adware,smsagent,gappusin,domob,smsreg,fakeinst,kuguo,airpush,opfake,dowgin,kyview,smssend,qplus,vietsms,juzi,mseg,badok,boqx,revmob,perkel,fakedoc,androrat,mogap,phosty,ginmaster,tesbo,youmi,mobiletx,wifle,uten,infosteal,wroba,viser,leadbolt,rogueware,ganlet,wooboo,imlog
2013-09	349	51	131	269	14	admogo,spam,gumen,ogel,fakekrb,ansca,svpeng,packed,ukyadpay,clicks,systush	airpush,boqx,benign,youmi,fakeinst,adware,gappusin,smsagent,fakeangry,smsreg,clicks,kuguo,svpeng,exploit,nandrobox,smssend,gumen,opfake,ukyadpay,vietsms,smskey,dianle,jsmshider,minimob,smforw,kyview,ginmaster,wooboo,mseg,dowgin,unknown,ansca,admogo,umpay,plankton,infosteal,spam,domob,ogel,sms,mogap,execdownload,skymobi,cardserv,mmarketpay,packed,systush,fakekrb
2013-10	364	36	132	268	11	ewind,zypush,masnu,systemmonitor,cova,douwan,goldentouch,uupay	adware,airpush,mseg,benign,wroba,dowgin,smsreg,smssend,kuguo,fakeplayer,smsagent,fakeinst,youmi,unknown,smskey,svpeng,utchi,revmob,nandrobox,boqx,skymobi,gappusin,fakeangry,umpay,plankton,cova,vidro,exploit,leadbolt,systemmonitor,douwan,masnu,domob,dianle,androrat,goldentouch,fakedoc,kyview,opfake,cardserv,infosteal,spam,ewind,jsmshider,mogap,mobwin,clicks,zypush,gamex,uupay,hipposms,smforw,ginmaster,mmarketpay
2013-11	355	45	130	270	6	wedo,univert,oldboot,fengvi	adware,gumen,dowgin,ginmaster,clicks,benign,kuguo,opfake,boqx,smsagent,smssend,fakeinst,mseg,ksapp,vidro,gappusin,airpush,infosteal,youmi,utchi,unknown,leadbolt,nandrobox,smszombie,tesbo,wedo,minimob,kyview,smforw,domob,smskey,smsreg,oldboot,fengvi,univert,pushad,spam,exploit,moavt,cardserv
2013-12	323	77	107	293	1	gepew	fakeinst,smssend,adware,benign,dowgin,airpush,smsreg,umpay,pushad,gappusin,kuguo,minimob,clicks,unknown,smsagent,youmi,utchi,appoffer,dianjin,opfake,cardserv,fujacks,domob,smforw,wooboo,adwo,mseg,infosteal,dianle,admogo,gepew,leadbolt
2014-01	364	36	98	302	9	stopsms,cynos,qysly,gidix,fobus	ksapp,smsreg,fakeinst,airpush,adware,gappusin,appoffer,leadbolt,benign,smsagent,kuguo,dianle,youmi,unknown,mseg,droidkungfu,infosteal,exploit,utchi,cynos,dowgin,opfake,skymobi,nandrobox,minimob,gidix,fakeangry,kyview,stopsms,igexin,smssend,smskey,smsthief,adwo,execdownload,umpay,qysly,revmob,admogo,smforw,ewind,fobus,gumen,jsmshider,boqx,ginmaster
2014-02	373	27	119	281	3	quozha,wiyun	opfake,dowgin,benign,adware,appoffer,kuguo,igexin,zypush,ginmaster,smsagent,fakeinst,adwo,smsreg,mseg,domob,airpush,clicks,utchi,dianle,fakeangry,youmi,gappusin,fobus,skymobi,smssend,vietsms,androrat,infosteal,packed,plankton,pushad,wiyun,smskey,ewind,quozha,unknown,minimob
2014-03	365	35	135	265	3	tispy,shixot,mempodroid	airpush,adware,dowgin,opfake,benign,umpay,leadbolt,infosteal,smsreg,smssend,smskey,fakeinst,kuguo,kyview,unknown,appoffer,youmi,gappusin,minimob,utchi,androrat,cova,mseg,packed,admogo,stopsms,sms,smsthief,smforw,mmarketpay,igexin,clicks,adwo,tispy,shixot,viser,plankton,nandrobox,mempodroid,dnotua,ewind,skymobi,fobus
2014-04	364	36	106	294	14	cimsci,pandaad,marcher,helir,plague,smcc,tekwon,smsspy,dials,funtasy,secapk	fakeinst,adware,smssend,skymobi,benign,youmi,smsagent,smsreg,airpush,smforw,exploit,systemmonitor,dnotua,spyware,helir,boqx,utchi,nandrobox,opfake,cimsci,umpay,gappusin,smskey,kuguo,gidix,fakeangry,stopsms,domob,pandaad,igexin,dowgin,dials,packed,vietsms,androrat,uapush,cova,admogo,minimob,infosteal,mmarketpay,plague,secapk,tekwon,dianjin,smcc,ewind,qysly,unknown,smsspy,marcher,leadbolt,funtasy
2014-05	363	37	136	264	11	droidwatcher,fakebank,gabas,rootnik,battpatch,kingroot,simplocker	adwo,smsreg,smsagent,benign,smssend,gappusin,fakeinst,qysly,youmi,opfake,adware,igexin,leadbolt,domob,airpush,utchi,smsthief,systemmonitor,fakeangry,kyview,aiplay,exploit,hipposms,pandaad,clicks,skymobi,battpatch,kuguo,unknown,droidwatcher,mseg,dowgin,infosteal,gabas,simplocker,cova,kingroot,uupay,fakebank,netspoof,rootnik,packed,admogo,mmarketpay,umpay,plankton,spyware
2014-06	353	47	143	257	10	alycunis,slocker,joye,adflex,tebak,commplat,chyapo,kimia,pletor	benign,smsreg,umpay,dianle,kimia,adware,leadbolt,smforw,infosteal,gidix,smsagent,fakeinst,exploit,unknown,gappusin,kuguo,systemmonitor,smssend,airpush,packed,youmi,dowgin,mseg,utchi,opfake,aiplay,dials,commplat,alycunis,fakeangry,goldentouch,kyview,sms,chyapo,skymobi,domob,execdownload,androrat,adflex,wroba,cova,rootnik,simplocker,pletor,slocker,wooboo,tebak,joye,secapk
2014-07	355	45	178	222	2	smscmd,zdtad	benign,youmi,smsreg,airpush,kimia,smssend,adware,umpay,gidix,smsagent,rooter,dowgin,appoffer,skymobi,igexin,unknown,utchi,domob,systush,minimob,feejar,dials,systemmonitor,fakeinst,adwo,zdtad,kyview,infosteal,jsmshider,sms,chyapo,cimsci,packed,wroba,kuguo,gappusin,kingroot,admogo,exploit,fengvi,gepew,marcher,smscmd,odpa,leadbolt
2014-08	366	34	203	197	10	finspy,apptrack,wqmobile,winkad,torec,gamecheater,krysanec	benign,skymobi,youmi,fakeinst,dowgin,gappusin,packed,zitmo,boqx,gidix,tekwon,airpush,adware,finspy,smsreg,kingroot,joye,igexin,cimsci,smssend,commplat,feejar,kuguo,systemmonitor,opfake,wqmobile,qysly,cynos,gamecheater,exploit,adwo,zdtad,kyview,koomer,fengvi,winkad,admogo,domob,droiddreamlight,secapk,minimob,infosteal,gepew,apptrack,torec,svpeng,spyware,simplocker,sms,krysanec
