date	Total	TP	TN	FP	FN
2012-12	30533	2895	27457	15	166
2013-01	4991	461	4468	23	39
2013-02	3185	251	2858	7	69
2013-03	3365	279	3000	28	58
2013-04	3886	330	3489	8	59
2013-05	4865	424	4371	12	58
2013-06	3384	290	3038	8	48
2013-07	2520	222	2259	8	31
2013-08	2436	204	2186	8	38
2013-09	4984	435	4460	24	65
2013-10	4989	409	4473	17	90
2013-11	4972	381	4452	25	114
2013-12	4991	374	4470	22	125
2014-01	4983	374	4475	15	119
2014-02	4981	415	4468	18	80
2014-03	4983	401	4451	38	93
2014-04	4430	354	3974	16	86
2014-05	4985	418	4465	23	79
2014-06	4989	319	4467	24	179
2014-07	4994	264	4467	28	235
2014-08	4989	333	4468	25	163
2014-09	4250	325	3811	17	97
2014-10	4969	354	4458	22	135
2014-11	4975	403	4458	24	90
2014-12	4957	361	4449	15	132
2015-01	4931	363	4442	11	115
2015-02	4954	430	4454	18	52
2015-03	4939	399	4460	8	72
2015-04	4946	423	4463	16	44
2015-05	4934	387	4475	15	57
2015-06	4946	358	4479	10	99
2015-07	4824	383	4328	19	94
2015-08	3111	239	2799	6	67
2015-09	4959	331	4457	20	151
2015-10	4963	325	4470	18	150
2015-11	4975	393	4472	15	95
2015-12	4970	407	4475	14	74
2016-01	4931	365	4485	10	71
2016-02	4917	392	4459	24	42
2016-03	4950	398	4478	19	55
2016-04	4926	348	4458	36	84
2016-05	4968	414	4461	30	63
2016-06	4974	439	4453	29	53
2016-07	4970	399	4457	32	82
2016-08	4981	430	4452	32	67
2016-09	4965	396	4449	23	97
2016-10	4977	445	4459	26	47
2016-11	3327	222	2984	13	108
2016-12	3150	233	2835	8	74
2017-01	3410	280	3060	30	40
2017-02	3770	332	3387	15	36
2017-03	3596	264	3232	32	68
2017-04	1905	107	1729	21	48
2017-05	1265	77	1164	2	22
2017-06	1399	79	1284	2	34
2017-07	1871	152	1673	11	35
2017-08	2989	279	2672	21	17
2017-09	1764	143	1594	13	14
2017-10	2914	193	2685	8	28
2017-11	987	80	886	9	12
2017-12	1442	118	1293	24	7
2018-01	1836	131	1676	7	22
2018-02	1791	127	1637	9	18
2018-03	4765	252	4472	19	22
2018-04	2966	249	2669	16	32
2018-05	2478	219	2222	14	23
2018-06	4970	389	4484	8	89
2018-07	4983	399	4483	12	89
2018-08	2989	256	2683	15	35
2018-09	4953	325	4463	32	133
2018-10	4989	305	4477	19	188
2018-11	2984	206	2683	14	81
2018-12	2225	142	2026	6	51
