date	Count	Index	True	Pred	Family	Score
2020-01	0	389	0	0.4800	benign	0.4800
2020-01	1	2859	0	0.4800	benign	0.4800
2020-01	2	22	1	0.5245	execdownload	0.4755
2020-01	3	2359	0	0.5246	benign	0.4754
2020-01	4	2721	0	0.5261	benign	0.4739
2020-01	5	3023	0	0.4544	benign	0.4544
2020-01	6	99	1	0.4292	execdownload	0.4292
2020-01	7	1170	0	0.4169	benign	0.4169
2020-01	8	82	1	0.5876	execdownload	0.4124
2020-01	9	817	0	0.3977	benign	0.3977
2020-01	10	2908	0	0.6055	benign	0.3945
2020-01	11	204	1	0.3893	execdownload	0.3893
2020-01	12	1477	0	0.3794	benign	0.3794
2020-01	13	2419	0	0.6227	benign	0.3773
2020-01	14	79	1	0.6235	packed	0.3765
2020-01	15	81	1	0.6235	packed	0.3765
2020-01	16	3123	0	0.3706	benign	0.3706
2020-01	17	777	0	0.3648	benign	0.3648
2020-01	18	2867	0	0.3551	benign	0.3551
2020-01	19	28	1	0.3545	ewind	0.3545
2020-01	20	542	0	0.6522	benign	0.3478
2020-01	21	2810	0	0.3474	benign	0.3474
2020-01	22	1510	0	0.6627	benign	0.3373
2020-01	23	2833	0	0.6627	benign	0.3373
2020-01	24	1807	0	0.3224	benign	0.3224
2020-01	25	3269	0	0.3181	benign	0.3181
2020-01	26	3090	0	0.3105	benign	0.3105
2020-01	27	106	1	0.6899	triada	0.3101
2020-01	28	1357	0	0.3097	benign	0.3097
2020-01	29	1320	0	0.3028	benign	0.3028
2020-01	30	359	0	0.2960	benign	0.2960
2020-01	31	2136	0	0.2947	benign	0.2947
2020-01	32	2327	0	0.2889	benign	0.2889
2020-01	33	2426	0	0.2881	benign	0.2881
2020-01	34	36	1	0.7202	triada	0.2798
2020-01	35	330	1	0.7202	triada	0.2798
2020-01	36	3211	0	0.2774	benign	0.2774
2020-01	37	598	0	0.2702	benign	0.2702
2020-01	38	146	1	0.7353	lockscreen	0.2647
2020-01	39	247	1	0.7357	lockscreen	0.2643
2020-01	40	2411	0	0.2561	benign	0.2561
2020-01	41	2733	0	0.2509	benign	0.2509
2020-01	42	1854	0	0.2438	benign	0.2438
2020-01	43	2586	0	0.2387	benign	0.2387
2020-01	44	2712	0	0.2295	benign	0.2295
2020-01	45	2591	0	0.2273	benign	0.2273
2020-01	46	1393	0	0.2236	benign	0.2236
2020-01	47	1942	0	0.2191	benign	0.2191
2020-01	48	107	1	0.7839	execdownload	0.2161
2020-01	49	2625	0	0.2148	benign	0.2148
2020-01	50	1281	0	0.2131	benign	0.2131
2020-01	51	1434	0	0.2116	benign	0.2116
2020-01	52	2664	0	0.2112	benign	0.2112
2020-01	53	1842	0	0.2101	benign	0.2101
2020-01	54	1438	0	0.2061	benign	0.2061
2020-01	55	2749	0	0.2061	benign	0.2061
2020-01	56	132	1	0.2046	syringe	0.2046
2020-01	57	2018	0	0.2011	benign	0.2011
2020-01	58	15	1	0.7993	execdownload	0.2007
2020-01	59	137	1	0.7993	execdownload	0.2007
2020-01	60	297	1	0.8024	lockscreen	0.1976
2020-01	61	208	1	0.8048	virtualapp	0.1952
2020-01	62	3109	0	0.1942	benign	0.1942
2020-01	63	2604	0	0.1902	benign	0.1902
2020-01	64	788	0	0.1887	benign	0.1887
2020-01	65	3085	0	0.1855	benign	0.1855
2020-01	66	2618	0	0.1852	benign	0.1852
2020-01	67	2480	0	0.1820	benign	0.1820
2020-01	68	636	0	0.1783	benign	0.1783
2020-01	69	3196	0	0.1741	benign	0.1741
2020-01	70	2665	0	0.1740	benign	0.1740
2020-01	71	2570	0	0.1707	benign	0.1707
2020-01	72	357	0	0.1695	benign	0.1695
2020-01	73	1662	0	0.1695	benign	0.1695
2020-01	74	2645	0	0.1691	benign	0.1691
2020-01	75	2732	0	0.1691	benign	0.1691
2020-01	76	2888	0	0.1650	benign	0.1650
2020-01	77	2677	0	0.1555	benign	0.1555
2020-01	78	17	1	0.8455	iconhider	0.1545
2020-01	79	1384	0	0.1543	benign	0.1543
2020-01	80	838	0	0.1539	benign	0.1539
2020-01	81	614	0	0.1529	benign	0.1529
2020-01	82	1349	0	0.1525	benign	0.1525
2020-01	83	2138	0	0.1525	benign	0.1525
2020-01	84	1047	0	0.1513	benign	0.1513
2020-01	85	3292	0	0.1434	benign	0.1434
2020-01	86	1247	0	0.1424	benign	0.1424
2020-01	87	714	0	0.1382	benign	0.1382
2020-01	88	1546	0	0.1371	benign	0.1371
2020-01	89	1786	0	0.1357	benign	0.1357
2020-01	90	2	1	0.8649	execdownload	0.1351
2020-01	91	3012	0	0.1233	benign	0.1233
2020-01	92	2909	0	0.1228	benign	0.1228
2020-01	93	1538	0	0.1222	benign	0.1222
2020-01	94	118	1	0.1207	umpay	0.1207
2020-01	95	1555	0	0.1166	benign	0.1166
2020-01	96	950	0	0.1131	benign	0.1131
2020-01	97	2041	0	0.1124	benign	0.1124
2020-01	98	259	1	0.8908	execdownload	0.1092
2020-01	99	301	1	0.8908	execdownload	0.1092
2020-01	100	1342	0	0.1047	benign	0.1047
2020-01	101	2176	0	0.1011	benign	0.1011
2020-01	102	2134	0	0.8994	benign	0.1006
2020-01	103	2023	0	0.0997	benign	0.0997
2020-01	104	3146	0	0.0962	benign	0.0962
2020-01	105	565	0	0.0940	benign	0.0940
2020-01	106	597	0	0.0934	benign	0.0934
2020-01	107	97	1	0.9077	lockscreen	0.0923
2020-01	108	253	1	0.9077	lockscreen	0.0923
2020-01	109	257	1	0.9077	execdownload	0.0923
2020-01	110	948	0	0.0921	benign	0.0921
2020-01	111	3	1	0.9081	lockscreen	0.0919
2020-01	112	39	1	0.9081	execdownload	0.0919
2020-01	113	49	1	0.9081	execdownload	0.0919
2020-01	114	144	1	0.9081	lockscreen	0.0919
2020-01	115	159	1	0.9081	execdownload	0.0919
2020-01	116	173	1	0.9081	lockscreen	0.0919
2020-01	117	185	1	0.9081	lockscreen	0.0919
2020-01	118	191	1	0.9081	lockscreen	0.0919
2020-01	119	203	1	0.9081	lockscreen	0.0919
2020-01	120	249	1	0.9081	execdownload	0.0919
2020-01	121	252	1	0.9081	lockscreen	0.0919
2020-01	122	270	1	0.9081	execdownload	0.0919
2020-01	123	280	1	0.9081	lockscreen	0.0919
2020-01	124	284	1	0.9081	execdownload	0.0919
2020-01	125	296	1	0.9081	lockscreen	0.0919
2020-01	126	318	1	0.9081	lockscreen	0.0919
2020-01	127	1385	0	0.0916	benign	0.0916
2020-01	128	421	0	0.0912	benign	0.0912
2020-01	129	772	0	0.0880	benign	0.0880
2020-01	130	1833	0	0.0877	benign	0.0877
2020-01	131	1472	0	0.0870	benign	0.0870
2020-01	132	604	0	0.0836	benign	0.0836
2020-01	133	1556	0	0.0805	benign	0.0805
2020-01	134	2272	0	0.0799	benign	0.0799
2020-01	135	1882	0	0.0783	benign	0.0783
2020-01	136	3154	0	0.0776	benign	0.0776
2020-01	137	1724	0	0.0774	benign	0.0774
2020-01	138	2246	0	0.0774	benign	0.0774
2020-01	139	687	0	0.0773	benign	0.0773
2020-01	140	833	0	0.0773	benign	0.0773
2020-01	141	854	0	0.0773	benign	0.0773
2020-01	142	1486	0	0.0773	benign	0.0773
2020-01	143	2187	0	0.0773	benign	0.0773
2020-01	144	2613	0	0.0773	benign	0.0773
2020-01	145	370	0	0.0764	benign	0.0764
2020-01	146	3075	0	0.0761	benign	0.0761
2020-01	147	635	0	0.0758	benign	0.0758
2020-01	148	1207	0	0.0717	benign	0.0717
2020-01	149	3025	0	0.0708	benign	0.0708
2020-01	150	1413	0	0.0699	benign	0.0699
2020-01	151	796	0	0.0686	benign	0.0686
2020-01	152	407	0	0.0675	benign	0.0675
2020-01	153	501	0	0.0675	benign	0.0675
2020-01	154	509	0	0.0675	benign	0.0675
2020-01	155	528	0	0.0675	benign	0.0675
2020-01	156	859	0	0.0675	benign	0.0675
2020-01	157	1194	0	0.0675	benign	0.0675
2020-01	158	1198	0	0.0675	benign	0.0675
2020-01	159	1222	0	0.0675	benign	0.0675
2020-01	160	1368	0	0.0675	benign	0.0675
2020-01	161	1394	0	0.0675	benign	0.0675
2020-01	162	1575	0	0.0675	benign	0.0675
2020-01	163	1645	0	0.0675	benign	0.0675
2020-01	164	1698	0	0.0675	benign	0.0675
2020-01	165	1725	0	0.0675	benign	0.0675
2020-01	166	1946	0	0.0675	benign	0.0675
2020-01	167	2201	0	0.0675	benign	0.0675
2020-01	168	2331	0	0.0675	benign	0.0675
2020-01	169	2333	0	0.0675	benign	0.0675
2020-01	170	2337	0	0.0675	benign	0.0675
2020-01	171	2440	0	0.0675	benign	0.0675
2020-01	172	2465	0	0.0675	benign	0.0675
2020-01	173	2481	0	0.0675	benign	0.0675
2020-01	174	2691	0	0.0675	benign	0.0675
2020-01	175	375	0	0.0669	benign	0.0669
2020-01	176	716	0	0.0663	benign	0.0663
2020-01	177	1595	0	0.0654	benign	0.0654
2020-01	178	3063	0	0.0654	benign	0.0654
2020-01	179	496	0	0.0622	benign	0.0622
2020-01	180	3020	0	0.0607	benign	0.0607
2020-01	181	932	0	0.0604	benign	0.0604
2020-01	182	3237	0	0.0578	benign	0.0578
2020-01	183	1309	0	0.0576	benign	0.0576
2020-01	184	2805	0	0.0570	benign	0.0570
2020-01	185	2794	0	0.0541	benign	0.0541
2020-01	186	1326	0	0.0540	benign	0.0540
2020-01	187	168	1	0.9471	packed	0.0529
2020-01	188	1768	0	0.0511	benign	0.0511
2020-01	189	2768	0	0.0498	benign	0.0498
2020-01	190	2924	0	0.0498	benign	0.0498
2020-01	191	2257	0	0.0479	benign	0.0479
2020-01	192	1398	0	0.0478	benign	0.0478
2020-01	193	115	1	0.9522	wapron	0.0478
2020-01	194	2224	0	0.0464	benign	0.0464
2020-01	195	2408	0	0.0460	benign	0.0460
2020-01	196	3313	0	0.0458	benign	0.0458
2020-01	197	2663	0	0.0456	benign	0.0456
2020-01	198	583	0	0.0447	benign	0.0447
2020-01	199	1835	0	0.0440	benign	0.0440
2020-02	0	494	0	0.4459	benign	0.4905
2020-02	1	550	0	0.2745	benign	0.4905
2020-02	2	918	0	0.2745	benign	0.4905
2020-02	3	1254	0	0.2762	benign	0.4905
2020-02	4	1401	0	0.2762	benign	0.4905
2020-02	5	3336	0	0.2762	benign	0.4905
2020-02	6	3716	0	0.4459	benign	0.4905
2020-02	7	4079	0	0.2745	benign	0.4905
2020-02	8	1572	0	0.3062	benign	0.4853
2020-02	9	1417	0	0.4603	benign	0.4684
2020-02	10	66	1	0.6476	adware	0.4671
2020-02	11	203	1	0.6476	adware	0.4671
2020-02	12	272	1	0.6476	adware	0.4671
2020-02	13	313	1	0.6476	adware	0.4671
2020-02	14	337	1	0.6476	adware	0.4671
2020-02	15	877	0	0.5710	benign	0.4647
2020-02	16	950	0	0.0268	benign	0.4535
2020-02	17	118	1	0.4215	clicks	0.4476
2020-02	18	1706	0	0.2310	benign	0.4383
2020-02	19	2497	0	0.2163	benign	0.4274
2020-02	20	3992	0	0.2373	benign	0.4273
2020-02	21	3579	0	0.5312	benign	0.4206
2020-02	22	1379	0	0.3319	benign	0.4095
2020-02	23	216	1	0.7486	virtualapp	0.4039
2020-02	24	347	1	0.7486	virtualapp	0.4039
2020-02	25	363	1	0.7486	virtualapp	0.4039
2020-02	26	3231	0	0.0488	benign	0.4015
2020-02	27	187	1	1.0471	execdownload	0.4001
2020-02	28	3620	0	-0.0011	benign	0.3977
2020-02	29	2763	0	0.5308	benign	0.3921
2020-02	30	1872	0	0.1412	benign	0.3892
2020-02	31	3194	0	0.3845	benign	0.3887
2020-02	32	3302	0	0.3845	benign	0.3887
2020-02	33	196	1	0.9518	execdownload	0.3827
2020-02	34	1951	0	0.5612	benign	0.3728
2020-02	35	1010	0	0.0015	benign	0.3648
2020-02	36	3694	0	0.3733	benign	0.3598
2020-02	37	782	0	0.1464	benign	0.3577
2020-02	38	3550	0	0.3966	benign	0.3575
2020-02	39	131	1	0.7150	execdownload	0.3470
2020-02	40	377	1	0.2020	spyware	0.3449
2020-02	41	27	1	0.7252	infosteal	0.3408
2020-02	42	304	1	0.7257	execdownload	0.3401
2020-02	43	2618	0	0.3407	benign	0.3390
2020-02	44	193	1	0.6943	infosteal	0.3388
2020-02	45	3313	0	0.2762	benign	0.3384
2020-02	46	3625	0	0.2313	benign	0.3370
2020-02	47	3705	0	0.4379	benign	0.3365
2020-02	48	380	1	0.7988	infosteal	0.3296
2020-02	49	212	1	0.7664	adware	0.3166
2020-02	50	309	1	0.7664	adware	0.3166
2020-02	51	358	1	0.7664	ewind	0.3166
2020-02	52	3234	0	0.3312	benign	0.3113
2020-02	53	382	1	0.3161	clicks	0.3099
2020-02	54	2050	0	0.1816	benign	0.2900
2020-02	55	7	1	0.5896	hiddad	0.2872
2020-02	56	9	1	0.5896	hiddad	0.2872
2020-02	57	13	1	0.5896	hiddad	0.2872
2020-02	58	14	1	0.5896	hiddad	0.2872
2020-02	59	21	1	0.5896	hiddad	0.2872
2020-02	60	22	1	0.5896	hiddad	0.2872
2020-02	61	26	1	0.5896	hiddad	0.2872
2020-02	62	28	1	0.5896	hiddad	0.2872
2020-02	63	30	1	0.5896	hiddad	0.2872
2020-02	64	35	1	0.5896	hiddad	0.2872
2020-02	65	38	1	0.5896	hiddad	0.2872
2020-02	66	39	1	0.5896	hiddad	0.2872
2020-02	67	40	1	0.5896	hiddad	0.2872
2020-02	68	41	1	0.5896	hiddad	0.2872
2020-02	69	43	1	0.5896	hiddad	0.2872
2020-02	70	46	1	0.5896	hiddad	0.2872
2020-02	71	56	1	0.5896	hiddad	0.2872
2020-02	72	58	1	0.5896	hiddad	0.2872
2020-02	73	60	1	0.5896	hiddad	0.2872
2020-02	74	65	1	0.5896	hiddad	0.2872
2020-02	75	67	1	0.5896	hiddad	0.2872
2020-02	76	68	1	0.5896	hiddad	0.2872
2020-02	77	70	1	0.5896	hiddad	0.2872
2020-02	78	72	1	0.5896	hiddad	0.2872
2020-02	79	73	1	0.5896	hiddad	0.2872
2020-02	80	75	1	0.5896	hiddad	0.2872
2020-02	81	76	1	0.5896	hiddad	0.2872
2020-02	82	78	1	0.5896	hiddad	0.2872
2020-02	83	79	1	0.5896	hiddad	0.2872
2020-02	84	94	1	0.5896	hiddad	0.2872
2020-02	85	96	1	0.5896	hiddad	0.2872
2020-02	86	98	1	0.5896	hiddad	0.2872
2020-02	87	102	1	0.5896	hiddad	0.2872
2020-02	88	105	1	0.5896	hiddad	0.2872
2020-02	89	111	1	0.5896	hiddad	0.2872
2020-02	90	113	1	0.5896	hiddad	0.2872
2020-02	91	117	1	0.5896	hiddad	0.2872
2020-02	92	119	1	0.5896	hiddad	0.2872
2020-02	93	120	1	0.5896	hiddad	0.2872
2020-02	94	122	1	0.5896	hiddad	0.2872
2020-02	95	127	1	0.5896	hiddad	0.2872
2020-02	96	128	1	0.5896	hiddad	0.2872
2020-02	97	132	1	0.5896	hiddad	0.2872
2020-02	98	133	1	0.5896	hiddad	0.2872
2020-02	99	136	1	0.5896	hiddad	0.2872
2020-02	100	137	1	0.5896	hiddad	0.2872
2020-02	101	143	1	0.5896	hiddad	0.2872
2020-02	102	144	1	0.5896	hiddad	0.2872
2020-02	103	146	1	0.5896	hiddad	0.2872
2020-02	104	151	1	0.5896	hiddad	0.2872
2020-02	105	152	1	0.5896	hiddad	0.2872
2020-02	106	156	1	0.5896	hiddad	0.2872
2020-02	107	157	1	0.5896	hiddad	0.2872
2020-02	108	159	1	0.5896	hiddad	0.2872
2020-02	109	161	1	0.5896	hiddad	0.2872
2020-02	110	162	1	0.5896	hiddad	0.2872
2020-02	111	166	1	0.5896	hiddad	0.2872
2020-02	112	169	1	0.5896	hiddad	0.2872
2020-02	113	170	1	0.5896	hiddad	0.2872
2020-02	114	172	1	0.5896	hiddad	0.2872
2020-02	115	173	1	0.5896	hiddad	0.2872
2020-02	116	175	1	0.5896	hiddad	0.2872
2020-02	117	177	1	0.5896	hiddad	0.2872
2020-02	118	179	1	0.5896	hiddad	0.2872
2020-02	119	180	1	0.5896	hiddad	0.2872
2020-02	120	188	1	0.5896	hiddad	0.2872
2020-02	121	194	1	0.5896	hiddad	0.2872
2020-02	122	195	1	0.5896	hiddad	0.2872
2020-02	123	200	1	0.5896	hiddad	0.2872
2020-02	124	201	1	0.5896	hiddad	0.2872
2020-02	125	204	1	0.5896	hiddad	0.2872
2020-02	126	205	1	0.5896	hiddad	0.2872
2020-02	127	206	1	0.5896	hiddad	0.2872
2020-02	128	208	1	0.5896	hiddad	0.2872
2020-02	129	209	1	0.5896	hiddad	0.2872
2020-02	130	210	1	0.5896	hiddad	0.2872
2020-02	131	213	1	0.5896	hiddad	0.2872
2020-02	132	214	1	0.5896	hiddad	0.2872
2020-02	133	217	1	0.5896	hiddad	0.2872
2020-02	134	218	1	0.5896	hiddad	0.2872
2020-02	135	221	1	0.5896	hiddad	0.2872
2020-02	136	222	1	0.5896	hiddad	0.2872
2020-02	137	224	1	0.5896	hiddad	0.2872
2020-02	138	226	1	0.5896	hiddad	0.2872
2020-02	139	227	1	0.5896	hiddad	0.2872
2020-02	140	228	1	0.5896	hiddad	0.2872
2020-02	141	233	1	0.5896	hiddad	0.2872
2020-02	142	234	1	0.5896	hiddad	0.2872
2020-02	143	235	1	0.5896	hiddad	0.2872
2020-02	144	238	1	0.5896	hiddad	0.2872
2020-02	145	240	1	0.5896	hiddad	0.2872
2020-02	146	242	1	0.5896	hiddad	0.2872
2020-02	147	244	1	0.5896	hiddad	0.2872
2020-02	148	245	1	0.5896	hiddad	0.2872
2020-02	149	250	1	0.5896	hiddad	0.2872
2020-02	150	252	1	0.5896	hiddad	0.2872
2020-02	151	258	1	0.5896	hiddad	0.2872
2020-02	152	260	1	0.5896	hiddad	0.2872
2020-02	153	262	1	0.5896	hiddad	0.2872
2020-02	154	263	1	0.5896	hiddad	0.2872
2020-02	155	269	1	0.5896	hiddad	0.2872
2020-02	156	270	1	0.5896	hiddad	0.2872
2020-02	157	271	1	0.5896	hiddad	0.2872
2020-02	158	274	1	0.5896	hiddad	0.2872
2020-02	159	276	1	0.5896	hiddad	0.2872
2020-02	160	277	1	0.5896	hiddad	0.2872
2020-02	161	278	1	0.5896	hiddad	0.2872
2020-02	162	279	1	0.5896	hiddad	0.2872
2020-02	163	280	1	0.5896	hiddad	0.2872
2020-02	164	282	1	0.5896	hiddad	0.2872
2020-02	165	283	1	0.5896	hiddad	0.2872
2020-02	166	285	1	0.5896	hiddad	0.2872
2020-02	167	286	1	0.5896	hiddad	0.2872
2020-02	168	292	1	0.5896	hiddad	0.2872
2020-02	169	296	1	0.5896	hiddad	0.2872
2020-02	170	305	1	0.5896	hiddad	0.2872
2020-02	171	307	1	0.5896	hiddad	0.2872
2020-02	172	308	1	0.5896	hiddad	0.2872
2020-02	173	316	1	0.5896	hiddad	0.2872
2020-02	174	317	1	0.5896	hiddad	0.2872
2020-02	175	319	1	0.5896	hiddad	0.2872
2020-02	176	322	1	0.5896	hiddad	0.2872
2020-02	177	323	1	0.5896	hiddad	0.2872
2020-02	178	326	1	0.5896	hiddad	0.2872
2020-02	179	328	1	0.5896	hiddad	0.2872
2020-02	180	336	1	0.5896	hiddad	0.2872
2020-02	181	338	1	0.5896	hiddad	0.2872
2020-02	182	349	1	0.5896	hiddad	0.2872
2020-02	183	351	1	0.5896	hiddad	0.2872
2020-02	184	354	1	0.5896	hiddad	0.2872
2020-02	185	360	1	0.5896	hiddad	0.2872
2020-02	186	362	1	0.5896	hiddad	0.2872
2020-02	187	365	1	0.5896	hiddad	0.2872
2020-02	188	366	1	0.5896	hiddad	0.2872
2020-02	189	370	1	0.5896	hiddad	0.2872
2020-02	190	371	1	0.5896	hiddad	0.2872
2020-02	191	374	1	0.5896	hiddad	0.2872
2020-02	192	375	1	0.5896	hiddad	0.2872
2020-02	193	376	1	0.5896	hiddad	0.2872
2020-02	194	378	1	0.5896	hiddad	0.2872
2020-02	195	381	1	0.5896	hiddad	0.2872
2020-02	196	384	1	0.5896	hiddad	0.2872
2020-02	197	385	1	0.5896	hiddad	0.2872
2020-02	198	388	1	0.5896	hiddad	0.2872
2020-02	199	391	1	0.5896	hiddad	0.2872
2020-03	0	228	1	0.2757	execdownload	0.4964
2020-03	1	530	0	0.2877	benign	0.4938
2020-03	2	2996	0	0.2877	benign	0.4938
2020-03	3	3259	0	0.3744	benign	0.4841
2020-03	4	169	1	0.6671	infosteal	0.4804
2020-03	5	1102	0	0.0248	benign	0.4733
2020-03	6	3630	0	0.4695	benign	0.4702
2020-03	7	251	1	0.8832	infosteal	0.4681
2020-03	8	314	1	0.8892	infosteal	0.4672
2020-03	9	666	0	0.0462	benign	0.4668
2020-03	10	266	1	0.8861	execdownload	0.4649
2020-03	11	708	0	0.1899	benign	0.4648
2020-03	12	2404	0	0.2628	benign	0.4641
2020-03	13	1183	0	0.4598	benign	0.4632
2020-03	14	2018	0	0.3523	benign	0.4598
2020-03	15	2628	0	0.2175	benign	0.4558
2020-03	16	697	0	0.0207	benign	0.4556
2020-03	17	790	0	0.7353	benign	0.4539
2020-03	18	1011	0	0.6762	benign	0.4442
2020-03	19	604	0	0.5362	benign	0.4405
2020-03	20	3602	0	0.0533	benign	0.4393
2020-03	21	771	0	0.5356	benign	0.4378
2020-03	22	737	0	0.7485	benign	0.4305
2020-03	23	3202	0	0.0588	benign	0.4291
2020-03	24	85	1	0.6369	hiddad	0.4228
2020-03	25	2549	0	0.2201	benign	0.4216
2020-03	26	297	1	0.8065	smsreg	0.4125
2020-03	27	2191	0	0.2218	benign	0.4117
2020-03	28	1927	0	0.0195	benign	0.4094
2020-03	29	2559	0	0.3904	benign	0.4080
2020-03	30	3520	0	0.0318	benign	0.4008
2020-03	31	2889	0	0.1866	benign	0.3995
2020-03	32	1781	0	0.5317	benign	0.3963
2020-03	33	2812	0	0.0009	benign	0.3887
2020-03	34	679	0	0.1440	benign	0.3861
2020-03	35	123	1	0.3863	adware	0.3851
2020-03	36	342	1	0.3863	adware	0.3851
2020-03	37	148	1	0.3742	booster	0.3848
2020-03	38	1272	0	-0.0126	benign	0.3845
2020-03	39	3368	0	-0.0196	benign	0.3832
2020-03	40	2957	0	0.2822	benign	0.3813
2020-03	41	1985	0	0.1169	benign	0.3736
2020-03	42	2904	0	0.1169	benign	0.3736
2020-03	43	270	1	0.6688	adware	0.3714
2020-03	44	271	1	0.6688	adware	0.3714
2020-03	45	293	1	0.6688	adware	0.3714
2020-03	46	157	1	0.6716	ewind	0.3713
2020-03	47	212	1	0.6716	adware	0.3713
2020-03	48	255	1	0.6716	ewind	0.3713
2020-03	49	265	1	0.6716	adware	0.3713
2020-03	50	1003	0	0.4714	benign	0.3667
2020-03	51	1745	0	0.1288	benign	0.3639
2020-03	52	2306	0	0.2794	benign	0.3637
2020-03	53	3344	0	0.2794	benign	0.3637
2020-03	54	139	1	0.1147	hypay	0.3605
2020-03	55	3283	0	0.0009	benign	0.3598
2020-03	56	1346	0	-0.0517	benign	0.3576
2020-03	57	318	1	0.5900	infosteal	0.3575
2020-03	58	2460	0	0.2918	benign	0.3562
2020-03	59	718	0	0.3083	benign	0.3553
2020-03	60	34	1	0.3715	virtualapp	0.3491
2020-03	61	42	1	0.3715	virtualapp	0.3491
2020-03	62	230	1	0.6838	infosteal	0.3490
2020-03	63	3093	0	0.0012	benign	0.3474
2020-03	64	743	0	-0.0067	benign	0.3413
2020-03	65	375	0	0.5064	benign	0.3412
2020-03	66	841	0	-0.0000	benign	0.3390
2020-03	67	2795	0	0.2192	benign	0.3301
2020-03	68	2900	0	0.2192	benign	0.3301
2020-03	69	478	0	0.0154	benign	0.3268
2020-03	70	2720	0	0.4571	benign	0.3210
2020-03	71	876	0	0.0080	benign	0.3130
2020-03	72	1996	0	0.0546	benign	0.3111
2020-03	73	1462	0	-0.0008	benign	0.3097
2020-03	74	741	0	0.1301	benign	0.3095
2020-03	75	486	0	-0.1166	benign	0.3089
2020-03	76	941	0	-0.1166	benign	0.3089
2020-03	77	2470	0	0.0031	benign	0.3086
2020-03	78	1257	0	0.4626	benign	0.3085
2020-03	79	3109	0	0.1824	benign	0.3056
2020-03	80	2674	0	-0.0055	benign	0.3028
2020-03	81	1847	0	0.5392	benign	0.3005
2020-03	82	410	0	0.1096	benign	0.2947
2020-03	83	2181	0	0.1096	benign	0.2947
2020-03	84	1766	0	-0.0159	benign	0.2923
2020-03	85	2163	0	-0.0159	benign	0.2923
2020-03	86	3018	0	0.0345	benign	0.2853
2020-03	87	1151	0	0.0061	benign	0.2813
2020-03	88	3645	0	0.0836	benign	0.2803
2020-03	89	642	0	0.2977	benign	0.2802
2020-03	90	2462	0	0.1155	benign	0.2765
2020-03	91	1115	0	-0.0166	benign	0.2754
2020-03	92	891	0	0.4559	benign	0.2669
2020-03	93	2164	0	0.4559	benign	0.2669
2020-03	94	125	1	0.9390	infosteal	0.2651
2020-03	95	210	1	0.3405	execdownload	0.2635
2020-03	96	2158	0	0.0003	benign	0.2631
2020-03	97	1311	0	0.7021	benign	0.2614
2020-03	98	1456	0	0.4551	benign	0.2579
2020-03	99	1352	0	0.3432	benign	0.2525
2020-03	100	1934	0	0.0558	benign	0.2497
2020-03	101	2087	0	0.3185	benign	0.2496
2020-03	102	705	0	0.0110	benign	0.2486
2020-03	103	1690	0	0.2898	benign	0.2475
2020-03	104	3267	0	0.1120	benign	0.2469
2020-03	105	22	1	0.7846	infosteal	0.2449
2020-03	106	31	1	0.7846	infosteal	0.2449
2020-03	107	50	1	0.7846	infosteal	0.2449
2020-03	108	84	1	0.7846	infosteal	0.2449
2020-03	109	93	1	0.7846	infosteal	0.2449
2020-03	110	96	1	0.7846	infosteal	0.2449
2020-03	111	130	1	0.7846	infosteal	0.2449
2020-03	112	143	1	0.7846	infosteal	0.2449
2020-03	113	145	1	0.7846	execdownload	0.2449
2020-03	114	223	1	0.7846	infosteal	0.2449
2020-03	115	319	1	0.7846	infosteal	0.2449
2020-03	116	321	1	0.7846	infosteal	0.2449
2020-03	117	1251	0	0.2188	benign	0.2375
2020-03	118	2724	0	0.2366	benign	0.2336
2020-03	119	2476	0	0.1136	benign	0.2328
2020-03	120	710	0	0.0069	benign	0.2313
2020-03	121	769	0	0.0069	benign	0.2313
2020-03	122	3594	0	0.0069	benign	0.2312
2020-03	123	3089	0	0.0189	benign	0.2299
2020-03	124	18	1	0.8899	triada	0.2289
2020-03	125	635	0	0.0103	benign	0.2271
2020-03	126	300	1	0.9845	wapron	0.2269
2020-03	127	2016	0	-0.0258	benign	0.2268
2020-03	128	2417	0	0.7895	benign	0.2254
2020-03	129	1607	0	-0.0029	benign	0.2254
2020-03	130	295	1	0.1642	adware	0.2251
2020-03	131	3169	0	0.0155	benign	0.2246
2020-03	132	2926	0	0.0276	benign	0.2218
2020-03	133	381	0	0.0302	benign	0.2215
2020-03	134	954	0	0.0302	benign	0.2215
2020-03	135	1356	0	0.0302	benign	0.2215
2020-03	136	995	0	-0.0189	benign	0.2193
2020-03	137	1636	0	0.1592	benign	0.2191
2020-03	138	3326	0	0.0369	benign	0.2184
2020-03	139	724	0	0.1045	benign	0.2161
2020-03	140	3521	0	0.1045	benign	0.2161
2020-03	141	3021	0	0.0063	benign	0.2160
2020-03	142	1342	0	0.0406	benign	0.2152
2020-03	143	2890	0	-0.0001	benign	0.2148
2020-03	144	594	0	0.0245	benign	0.2137
2020-03	145	2033	0	0.0085	benign	0.2104
