date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2020-01	187	13	156	44	16	iconhider,lockscreen	benign,execdownload,packed,ewind,triada,lockscreen,syringe,virtualapp,iconhider,umpay,wapron
2020-02	193	7	34	166	0		benign,adware,clicks,virtualapp,execdownload,spyware,infosteal,ewind,hiddad
2020-03	173	27	152	48	0		execdownload,benign,infosteal,hiddad,smsreg,adware,booster,ewind,hypay,virtualapp,triada,wapron,spyware,fakeapp,resharer,tool
2020-04	182	18	116	84	1	glodeagl	robtes,benign,execdownload,hiddad,adware,lockscreen,spynote,spyware,infosteal,clicks,glodeagl,wapron,fakeapp
2020-05	176	24	89	111	23	mobby	benign,hiddad,infosteal,mobby,adware,ewind,smforw,execdownload,boogr,smsreg,resharer,hqwar
2020-06	170	30	138	62	5	fakeadblocker,teddad	teddad,infosteal,benign,hqwar,adware,execdownload,hiddad,ransomware,jocker,boogr,ewind,ramnit,packed,fakeapp,joker,fakeadblocker,styricka,spynote,spyware,resharer,wroba,wapron
2020-07	152	48	61	139	1	simpo	execdownload,benign,infosteal,adware,ewind,hiddenads,wapron,mobby,simpo
2020-08	199	1	41	159	0		benign,adware,mobby,ewind,infosteal,execdownload
2020-09	98	102	69	131	6	smsfactory,rogueware,mcalprotect,monitorminor	execdownload,benign,adware,ewind,infosteal,hiddenads,mobidash,mcalprotect,resharer,rogueware,hqwar,joker,jocker,hiddad,smssend,smsfactory,monitorminor,fakeadblocker,packed
2020-10	132	68	77	123	5	multiple,fakecop	infosteal,execdownload,hqwar,adware,fakecop,benign,boogr,ewind,multiple,brata,spyware,unknown,fakeadblocker,joker,smforw
2020-11	153	47	95	105	0		execdownload,benign,fakecop,infosteal,boogr,fakeadblocker,ewind,adware,smforw
2020-12	45	155	41	159	149	geinimi	adware,windows,benign,spynote,infosteal,geinimi,packed
2021-01	183	17	166	34	7	droiddreamlight	benign,droiddreamlight,execdownload,hiddad,spyware,jocker,brata,infosteal,packed,geinimi
2021-02	182	18	167	33	0		infosteal,benign,spyware,adware,joker,spyagent,execdownload,ransomware,packed,fakeapp
2021-03	181	19	102	98	5	gustuff	execdownload,benign,infosteal,spyware,adware,mobby,ewind,joker,gustuff
2021-04	190	10	143	57	5	polph,ibec	execdownload,infosteal,polph,benign,adware,packed,resharer,ibec,joker,smsthief
2021-05	160	40	147	53	2	twmobo,ogel	benign,execdownload,infosteal,joker,adware,wroba,polph,twmobo,smforw,boogr,jocker,server,ogel,unknown
2021-06	178	22	167	33	1	droidkungfu	benign,infosteal,droidkungfu,lockscreen,execdownload,adware,joker,packed,triada,jocker
2021-07	192	8	107	93	1	exploit	benign,execdownload,infosteal,lockscreen,adware,exploit,droidkungfu
2021-08	164	36	111	89	0		benign,infosteal,execdownload,spynote,adware,spyware
2021-09	169	31	156	44	0		benign,infosteal,execdownload,wroba,piom
2021-10	161	39	127	73	0		benign,infosteal,execdownload,hqwar
2021-11	185	15	156	44	0		benign,infosteal,server,execdownload,wroba,piom,spyware,unknown,smsreg
