date	Total	TP	TN	FP	FN
2019-12	45489	4522	40943	4	20
2020-01	3318	321	2975	10	12
2020-02	4103	385	3690	7	21
2020-03	3667	337	3288	13	29
2020-04	3303	309	2952	14	28
2020-05	3797	315	3398	10	74
2020-06	1949	147	1749	3	50
2020-07	4826	215	4324	10	277
2020-08	4721	465	4223	7	26
2020-09	2729	174	2434	7	114
2020-10	1651	100	1472	9	70
2020-11	1273	82	1137	2	52
2020-12	3567	52	3172	15	328
2021-01	4151	69	3687	19	376
2021-02	403	24	359	3	17
2021-03	1215	91	1085	2	37
2021-04	692	62	617	2	11
2021-05	644	21	572	4	47
2021-06	459	20	412	3	24
2021-07	2503	221	2231	10	41
2021-08	1568	107	1391	4	66
2021-09	2095	146	1826	41	82
2021-10	1073	58	934	19	62
2021-11	477	40	409	14	14
2021-12	381	22	338	3	18
