date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2019-12	0.9956	0.9999	0.0001	0.0044	0.9995	0.9991	0.9974
2020-01	0.9640	0.9966	0.0034	0.0360	0.9934	0.9698	0.9669
2020-02	0.9557	0.9995	0.0005	0.0443	0.9951	0.9949	0.9749
2020-03	0.9344	0.9958	0.0042	0.0656	0.9896	0.9607	0.9474
2020-04	0.9347	0.9976	0.0024	0.0653	0.9912	0.9783	0.9560
2020-05	0.8843	0.9962	0.0038	0.1157	0.9847	0.9636	0.9223
2020-06	0.7563	0.9977	0.0023	0.2437	0.9733	0.9739	0.8514
2020-07	0.0915	0.9975	0.0025	0.9085	0.9051	0.8036	0.1642
2020-08	0.9532	0.9979	0.0021	0.0468	0.9932	0.9811	0.9669
2020-09	0.3056	0.9988	0.0012	0.6944	0.9256	0.9670	0.4644
2020-10	0.6471	0.9959	0.0041	0.3529	0.9600	0.9483	0.7692
2020-11	0.5746	0.9939	0.0061	0.4254	0.9497	0.9167	0.7064
2020-12	0.1263	0.9978	0.0022	0.8737	0.9050	0.8727	0.2207
2021-01	0.1146	0.9949	0.0051	0.8854	0.9005	0.7286	0.1981
2021-02	0.5610	0.9945	0.0055	0.4390	0.9504	0.9200	0.6970
2021-03	0.3359	0.9982	0.0018	0.6641	0.9284	0.9556	0.4971
2021-04	0.6027	0.9968	0.0032	0.3973	0.9552	0.9565	0.7395
2021-05	0.3235	1.0000	0.0000	0.6765	0.9286	1.0000	0.4889
2021-06	0.4318	0.9952	0.0048	0.5682	0.9412	0.9048	0.5846
2021-07	0.7748	0.9951	0.0049	0.2252	0.9720	0.9486	0.8529
2021-08	0.4335	0.9943	0.0057	0.5665	0.9324	0.9036	0.5859
2021-09	0.6228	0.9914	0.0086	0.3772	0.9513	0.8987	0.7358
2021-10	0.6417	0.9948	0.0052	0.3583	0.9553	0.9390	0.7624
2021-11	0.7963	0.9811	0.0189	0.2037	0.9602	0.8431	0.8190
2021-12	0.6000	0.9971	0.0029	0.4000	0.9554	0.9600	0.7385
