date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9925	0.9998	0.0002	0.0075	0.9991	0.9980	0.9952
2013-01	0.9340	0.9944	0.0056	0.0660	0.9884	0.9492	0.9415
2013-02	0.8938	0.9972	0.0028	0.1062	0.9868	0.9728	0.9316
2013-03	0.8516	0.9954	0.0046	0.1484	0.9810	0.9535	0.8997
2013-04	0.9203	0.9977	0.0023	0.0797	0.9900	0.9781	0.9483
2013-05	0.8983	0.9977	0.0023	0.1017	0.9879	0.9774	0.9362
2013-06	0.8757	0.9944	0.0056	0.1243	0.9826	0.9457	0.9094
2013-07	0.9170	0.9965	0.0035	0.0830	0.9885	0.9667	0.9412
2013-08	0.8595	0.9964	0.0036	0.1405	0.9828	0.9630	0.9083
2013-09	0.8620	0.9960	0.0040	0.1380	0.9825	0.9599	0.9083
2013-10	0.8277	0.9942	0.0058	0.1723	0.9776	0.9408	0.8806
2013-11	0.7576	0.9949	0.0051	0.2424	0.9712	0.9422	0.8399
2013-12	0.7776	0.9955	0.0045	0.2224	0.9738	0.9510	0.8556
2014-01	0.7546	0.9944	0.0056	0.2454	0.9707	0.9370	0.8360
2014-02	0.7576	0.9958	0.0042	0.2424	0.9721	0.9518	0.8436
2014-03	0.8178	0.9933	0.0067	0.1822	0.9759	0.9309	0.8707
2014-04	0.8273	0.9927	0.0073	0.1727	0.9763	0.9262	0.8739
2014-05	0.8672	0.9940	0.0060	0.1328	0.9813	0.9410	0.9026
2014-06	0.6807	0.9933	0.0067	0.3193	0.9621	0.9187	0.7820
2014-07	0.6814	0.9956	0.0044	0.3186	0.9642	0.9444	0.7916
2014-08	0.6835	0.9927	0.0073	0.3165	0.9619	0.9113	0.7811
2014-09	0.7417	0.9979	0.0021	0.2583	0.9725	0.9751	0.8425
2014-10	0.7362	0.9922	0.0078	0.2638	0.9670	0.9114	0.8145
2014-11	0.8276	0.9958	0.0042	0.1724	0.9791	0.9555	0.8870
2014-12	0.7850	0.9969	0.0031	0.2150	0.9758	0.9651	0.8658
2015-01	0.7531	0.9982	0.0018	0.2469	0.9744	0.9783	0.8511
2015-02	0.8672	0.9962	0.0038	0.1328	0.9836	0.9609	0.9117
2015-03	0.8556	0.9980	0.0020	0.1444	0.9844	0.9782	0.9128
2015-04	0.8994	0.9982	0.0018	0.1006	0.9889	0.9813	0.9385
2015-05	0.8739	0.9969	0.0031	0.1261	0.9858	0.9652	0.9173
2015-06	0.7790	0.9984	0.0016	0.2210	0.9782	0.9807	0.8683
2015-07	0.7862	0.9968	0.0032	0.2138	0.9760	0.9640	0.8661
2015-08	0.7941	0.9979	0.0021	0.2059	0.9778	0.9759	0.8757
2015-09	0.6473	0.9958	0.0042	0.3527	0.9619	0.9426	0.7675
2015-10	0.6126	0.9955	0.0045	0.3874	0.9589	0.9357	0.7405
2015-11	0.2561	0.9969	0.0031	0.7439	0.9242	0.8993	0.3987
2015-12	0.8565	0.9967	0.0033	0.1435	0.9831	0.9649	0.9075
2016-01	0.7706	0.9962	0.0038	0.2294	0.9763	0.9518	0.8517
2016-02	0.8756	0.9955	0.0045	0.1244	0.9850	0.9500	0.9113
