date	Total	TP	TN	FP	FN
2012-12	30533	3038	27466	6	23
2013-01	4991	467	4466	25	33
2013-02	3185	286	2857	8	34
2013-03	3365	287	3014	14	50
2013-04	3886	358	3489	8	31
2013-05	4865	433	4373	10	49
2013-06	3384	296	3029	17	42
2013-07	2520	232	2259	8	21
2013-08	2436	208	2186	8	34
2013-09	4984	431	4466	18	69
2013-10	4989	413	4464	26	86
2013-11	4972	375	4454	23	120
2013-12	4991	388	4472	20	111
2014-01	4983	372	4465	25	121
2014-02	4981	375	4467	19	120
2014-03	4983	404	4459	30	90
2014-04	4430	364	3961	29	76
2014-05	4985	431	4461	27	66
2014-06	4989	339	4461	30	159
2014-07	4994	340	4475	20	159
2014-08	4989	339	4460	33	157
2014-09	4250	313	3820	8	109
2014-10	4969	360	4445	35	129
2014-11	4975	408	4463	19	85
2014-12	4957	387	4450	14	106
2015-01	4931	360	4445	8	118
2015-02	4954	418	4455	17	64
2015-03	4939	403	4459	9	68
2015-04	4946	420	4471	8	47
2015-05	4934	388	4476	14	56
2015-06	4946	356	4482	7	101
2015-07	4824	375	4333	14	102
2015-08	3111	243	2799	6	63
2015-09	4959	312	4458	19	170
2015-10	4963	291	4468	20	184
2015-11	4975	125	4473	14	363
2015-12	4970	412	4474	15	69
2016-01	4931	336	4478	17	100
2016-02	4917	380	4463	20	54
2016-03	4950	388	4481	16	65
2016-04	4926	368	4470	24	64
2016-05	4968	417	4473	18	60
2016-06	4974	437	4455	27	55
2016-07	4970	388	4466	23	93
2016-08	4981	424	4455	29	73
2016-09	4965	398	4455	17	95
2016-10	4977	440	4465	20	52
2016-11	3327	226	2983	14	104
2016-12	3150	228	2828	15	79
2017-01	3410	271	3076	14	49
2017-02	3770	312	3382	20	56
2017-03	3596	257	3231	33	75
2017-04	1905	103	1742	8	52
2017-05	1265	75	1164	2	24
2017-06	1399	81	1284	2	32
2017-07	1871	158	1671	13	29
2017-08	2989	278	2676	17	18
2017-09	1764	143	1596	11	14
2017-10	2914	190	2685	8	31
2017-11	987	82	888	7	10
2017-12	1442	120	1297	20	5
2018-01	1836	135	1678	5	18
2018-02	1791	124	1642	4	21
2018-03	4765	233	4476	15	41
2018-04	2966	259	2665	20	22
2018-05	2478	213	2225	11	29
2018-06	4970	404	4482	10	74
2018-07	4983	399	4483	12	89
2018-08	2989	230	2689	9	61
2018-09	4953	317	4471	24	141
2018-10	4989	314	4479	17	179
2018-11	2984	207	2687	10	80
2018-12	2225	142	2027	5	51
